session_id,label
p10067_s0002,2
p10067_s0003,2
p10067_s0004,0
p10067_s0005,0
p10067_s0006,0
p10067_s0007,0
p10067_s0008,2
p10067_s0009,2
p10067_s0010,0
p10067_s0011,0
p10067_s0012,2
p10067_s0013,2
p10067_s0014,0
p10067_s0015,2
p10067_s0016,2
p10067_s0017,2
p10067_s0018,2
p10067_s0019,2
p10067_s0020,2
p10067_s0021,2
p10067_s0022,2
p10067_s0023,2
p10067_s0024,2
p10067_s0025,2
p10067_s0026,2
p10067_s0027,0
p10067_s0028,2
p10067_s0029,0
p10067_s0030,0
p10067_s0031,2
p10067_s0032,2
p10067_s0033,2
p10067_s0034,0
p10067_s0035,2
p10067_s0036,0
p10067_s0037,2
p10067_s0038,2
p10067_s0039,2
p10067_s0040,0
p10067_s0041,2
p10067_s0042,2
p10067_s0043,2
p10067_s0044,2
p10067_s0045,0
p10067_s0046,2
p10067_s0047,2
p10067_s0048,2
p10067_s0049,2
p10067_s0050,2
p10067_s0051,2
p10067_s0052,0
p10067_s0053,2
p10067_s0054,2
p10067_s0055,2
p10068_s0001,1
p10069_s0001,1
p10069_s0002,0
p10069_s0003,0
p10069_s0004,0
p10069_s0005,2
p10069_s0006,0
p1007_s0001,1
p1007_s0002,2
p1007_s0003,0
p1007_s0004,0
p1007_s0005,2
p1007_s0006,0
p1007_s0007,0
p1007_s0008,2
p1007_s0009,2
p1007_s0010,2
p1007_s0011,0
p1007_s0012,2
p1007_s0013,2
p1007_s0014,2
p1007_s0015,2
p1007_s0016,2
p1007_s0017,0
p1007_s0018,0
p1007_s0019,0
p1007_s0020,0
p1007_s0021,2
p1007_s0022,0
p1007_s0023,2
p1007_s0024,0
p1007_s0025,0
p1007_s0026,0
p1007_s0027,0
p1007_s0028,2
p1007_s0029,0
p1007_s0030,0
p10070_s0001,1
p10070_s0002,0
p10070_s0003,2
p10070_s0004,2
p10070_s0005,0
p10070_s0006,2
p10070_s0007,0
p10070_s0008,0
p10070_s0009,2
p10070_s0010,2
p10070_s0011,0
p10070_s0012,2
p10071_s0001,1
p10071_s0002,0
p10071_s0003,0
p10071_s0004,0
p10071_s0005,0
p10071_s0006,0
p10071_s0007,0
p10071_s0008,0
p10071_s0009,2
p10071_s0010,0
p10071_s0011,0
p10071_s0012,2
p10071_s0013,0
p10071_s0014,0
p10071_s0015,0
p10071_s0016,0
p10071_s0017,0
p10071_s0018,2
p10071_s0019,2
p10071_s0020,0
p10071_s0021,0
p10071_s0022,2
p10071_s0023,0
p10071_s0024,2
p10071_s0025,2
p10071_s0026,2
p10071_s0027,2
p10071_s0028,0
p10071_s0029,2
p10071_s0030,0
p10071_s0031,2
p10071_s0032,0
p10071_s0033,0
p10071_s0034,2
p10071_s0035,2
p10071_s0036,0
p10071_s0037,2
p10071_s0038,2
p10071_s0039,2
p10071_s0040,2
p10071_s0041,2
p10071_s0042,2
p10071_s0043,2
p10071_s0044,2
p10071_s0045,0
p10071_s0046,2
p10071_s0047,2
p10071_s0048,0
p10071_s0049,2
p10071_s0050,2
p10071_s0051,0
p10071_s0052,2
p10071_s0053,0
p10071_s0054,0
p10071_s0055,2
p10071_s0056,0
p10071_s0057,0
p10071_s0058,2
p10071_s0059,0
p10071_s0060,0
p10071_s0061,2
p10071_s0062,0
p10071_s0063,0
p10071_s0064,0
p10071_s0065,0
p10071_s0066,2
p10071_s0067,0
p10071_s0068,0
p10071_s0069,0
p10071_s0070,2
