session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3,posterior_cluster_4
p2764_s0002,p2764,2,3,0.9998571566846947,0.0009056892114818647,-5.0319509791975054,1.56011790854317e-05,2.0608135119880108e-76,0.00012713677124957608,0.9998571566846947,1.0536497005666866e-07
p2765_s0001,p2765,1,4,0.9996772684437536,0.001840244846668915,-7.9446067988301365,4.5857841856856316e-06,5.593362251906472e-57,0.00031432777034231884,3.8180017186099935e-06,0.9996772684437536
p2765_s0002,p2765,2,3,0.9999680233864765,0.0002255142231336179,-4.902374808265179,3.19765485836605e-05,4.04381708222243e-129,6.493979855418857e-11,0.9999680233864765,5.540486254867241e-18
p2765_s0003,p2765,3,3,0.999980718478764,0.00014204298427556485,-4.754740179063001,1.928146067809335e-05,2.690798397178723e-130,6.055776519952348e-11,0.999980718478764,2.4654562729408186e-17
p2765_s0004,p2765,4,3,0.9999724240483859,0.00019701508617818144,-5.369833528310351,2.757595072364464e-05,5.459023217091688e-142,8.885843469598641e-13,0.9999724240483859,1.8772006222676817e-15
p2765_s0005,p2765,5,3,0.9999860129674997,0.0001077415481865383,-3.8674840931133736,1.3195028901291586e-05,1.1497536262830333e-97,7.861045149285351e-07,0.9999860129674997,5.899084302565357e-09
p2765_s0006,p2765,6,3,0.9999797495426941,0.00015156373152194533,-3.4733148489283923,1.8949779500475592e-05,4.2920078722951446e-114,1.3006777271361511e-06,0.9999797495426941,7.842180799137917e-14
p2765_s0007,p2765,7,2,0.9998187962519443,0.0010898640774475946,-4.466215857734702,2.1453258419406894e-06,1.4742671801449412e-52,0.9998187962519443,0.00017905842221374303,5.534378515910293e-18
p2765_s0008,p2765,8,3,0.9996085020079728,0.0021516397920699638,-9.107017630277127,0.000391497992024854,5.318725695816482e-152,2.1926153191108687e-15,0.9996085020079728,5.598219729188271e-22
p2765_s0009,p2765,9,3,0.9999871321626068,9.805372951794848e-05,-4.17332823252367,1.286315567867779e-05,1.115586117634301e-117,4.681714141613862e-09,0.9999871321626068,1.4586965323615424e-17
p2766_s0001,p2766,1,4,0.9998889932029311,0.0007004466678324753,-4.834263016797713,9.31462880913365e-07,6.164765217411688e-89,1.2427952543535697e-08,0.00011006290623555622,0.9998889932029311
p2766_s0002,p2766,2,3,0.998069273654276,0.008913296197111528,-4.7799112629782945,8.5394109386475e-05,8.219801123273115e-100,0.0018453322312825806,0.998069273654276,5.054618065275593e-12
p2766_s0003,p2766,3,3,0.9999575658355451,0.00029180474777890954,-6.399339534666014,4.243416440879813e-05,1.2072583323892066e-147,4.322358225296268e-14,0.9999575658355451,2.7718985618254776e-15
p2766_s0004,p2766,4,2,0.9312723373175313,0.15560731644570275,-4.939207439565806,1.07569986538176e-05,3.401159515927047e-53,0.9312723373175313,0.06871690568142139,2.393975063729643e-12
p2766_s0005,p2766,5,2,0.9981463732754975,0.008415615324853978,-6.0351933526342645,4.5781163144624715e-06,2.689442526782648e-60,0.9981463732754975,0.0018490486081883216,4.082908842109203e-28
p2766_s0006,p2766,6,3,0.725098771302045,0.36943836806837216,-6.874436628850809,0.0009823044510607155,4.361961320839007e-91,0.2739189242390527,0.725098771302045,7.841928129380926e-12
p2766_s0007,p2766,7,3,0.9999638557682392,0.0002570451926130116,-6.495543741824894,3.409488233031375e-05,4.699159897875152e-112,2.0493494302944235e-06,0.9999638557682392,4.368982284365978e-27
p2766_s0008,p2766,8,3,0.9999747204882018,0.00018199947880037984,-5.324154497681598,2.527528491159314e-05,8.072882864082731e-129,4.226887025058503e-09,0.9999747204882018,6.259365287879513e-22
p2766_s0009,p2766,9,3,0.9999799839607315,0.00014804445545331732,-6.076090410411476,1.9681757154374578e-05,2.521858418418134e-115,3.342821141230509e-07,0.9999799839607315,5.03767584732301e-25
p2766_s0010,p2766,10,3,0.9999540475091371,0.00031372470872940896,-6.515262404229786,4.595249051847127e-05,5.044768584420051e-152,3.4419936413249317e-13,0.9999540475091371,5.825640466289636e-20
p2766_s0011,p2766,11,3,0.999460233534375,0.002915325784070466,-5.368423183046303,2.035646432988008e-05,7.392649519296998e-70,0.0005188597122070455,0.999460233534375,5.502890880821705e-07
p2767_s0001,p2767,1,4,0.9999411692887692,0.00039474347054404646,-4.422199608086112,6.168406551019575e-07,9.690410019666538e-111,9.596682222819818e-12,5.821386097864519e-05,0.9999411692887692
p2767_s0002,p2767,2,3,0.9961430751509162,0.01577567353822785,-5.085105887822547,1.6076172099901346e-05,1.5165014721361629e-89,0.0038408486769799218,0.9961430751509162,4.0149929116783454e-15
