session_id,pid,session_index,gmm_label,max_posterior,normalized_entropy,log_likelihood_row,posterior_cluster_0,posterior_cluster_1,posterior_cluster_2,posterior_cluster_3
p8407_s0003,p8407,3,0,0.8140457655340202,0.3470852749342602,-5.800557934650061,0.8140457655340202,0.18585337251465495,1.8678726832840322e-67,0.00010086195132502757
p8407_s0004,p8407,4,0,0.9906490974338668,0.03825846563048999,-4.320945785803573,0.9906490974338668,0.009346203462949322,5.765866967589429e-79,4.699103183582239e-06
p8407_s0005,p8407,5,1,0.991536697054361,0.03554245948601704,-5.1198180324660285,0.008382146744149742,0.991536697054361,1.2709518039073623e-99,8.115620148972255e-05
p8407_s0006,p8407,6,0,0.999958633030855,0.0003342776264812644,-4.786996994156273,0.999958633030855,4.0417233225199715e-05,1.764553933998394e-57,9.497359198438814e-07
p8407_s0007,p8407,7,1,0.9999563145734476,0.00034789969817469957,-8.48090212560029,7.317372681369474e-09,0.9999563145734476,6.40410081758987e-97,4.3678109178804754e-05
p8407_s0008,p8407,8,0,0.999872717441385,0.0009213816731787315,-4.8133786476061395,0.999872717441385,0.0001257215248096815,2.292211026523457e-44,1.561033805368282e-06
p8407_s0009,p8407,9,1,0.9999706285506219,0.00024228662465909068,-7.01535309452858,3.371028391047398e-10,0.9999706285506219,3.324242524183393e-110,2.937111227523996e-05
p8407_s0010,p8407,10,0,0.9997228871617563,0.0018470537370134025,-4.382291495681537,0.9997228871617563,0.00027474577504046715,1.3337011377382074e-52,2.367063203007767e-06
p8407_s0011,p8407,11,1,0.6693125745074199,0.45859015179677015,-7.520084821626048,0.3305666678553784,0.6693125745074199,5.995709636885237e-65,0.00012075763720191497
p8407_s0012,p8407,12,0,0.999842772953952,0.0011131257091657003,-4.551053593336623,0.999842772953952,0.00015562552422781185,4.9488943348978525e-47,1.6015218201508015e-06
p8407_s0013,p8407,13,3,1.0,-8.008566259537253e-16,-8.868270041573929,4.310413513243254e-46,1.456890884859149e-31,1.421184931473487e-141,1.0
p8407_s0014,p8407,14,0,0.9995812524403747,0.0026566532108212733,-4.3185735979170135,0.9995812524403747,0.0004177330535649251,3.946236172362249e-63,1.014506060285354e-06
p8407_s0015,p8407,15,1,0.9999820322660279,0.0001546019594325714,-6.011727415242198,2.4243908533269477e-09,0.9999820322660279,1.1381912541871826e-122,1.796530958100283e-05
p8407_s0016,p8407,16,1,0.9999875948016661,0.00011009295920010224,-5.1704339666861125,8.400655987856532e-09,0.9999875948016661,1.9850264940658974e-104,1.239679767750931e-05
p8407_s0017,p8407,17,0,0.9998680834532027,0.0009525369214111729,-4.645645632879798,0.9998680834532027,0.00012997137104563163,2.608229217030615e-45,1.945175751682795e-06
p8407_s0018,p8407,18,1,0.8896361576276854,0.2508982566660688,-5.465626496335195,0.11029950336383022,0.8896361576276854,1.3339038761430203e-91,6.43390084842512e-05
p8407_s0019,p8407,19,0,0.9997610989242712,0.001613224122034633,-3.6970839419908383,0.9997610989242712,0.00023812440957239497,2.3899147538984757e-65,7.766661565273023e-07
p8407_s0020,p8407,20,1,0.9999300902049015,0.0005637722882537926,-4.535590909522822,2.100054792559516e-05,0.9999300902049015,1.4020376526855598e-115,4.890924717297215e-05
p8408_s0001,p8408,1,1,0.9994099288060234,0.0037407787405686938,-9.138208353204154,0.0005231777394795674,0.9994099288060234,3.6822447022654126e-76,6.68934544972707e-05
p8409_s0001,p8409,1,1,0.9996532693956853,0.0023546824061373133,-8.869678677922792,0.00028956140012911504,0.9996532693956853,3.015610495166889e-80,5.716920418608467e-05
p8409_s0002,p8409,2,0,0.9997664201347527,0.0015856743236675,-6.432123945930458,0.9997664201347527,0.00023158934271420772,1.4822756550630435e-50,1.990522533127157e-06
p8410_s0001,p8410,1,1,0.9999953241652557,4.695047427594467e-05,-7.098830826302526,1.6317131499119903e-06,0.9999953241652557,2.3201402001804066e-83,3.0441215942555384e-06
p8410_s0002,p8410,2,0,0.9754809851518087,0.09419139640167332,-15.985542586147663,0.9754809851518087,0.018007408341295644,0.00030963360708223997,0.006201972899814296
p8410_s0003,p8410,3,1,0.8790544218359287,0.2664508045715099,-9.361478557995241,0.12087789648753884,0.8790544218359287,1.63581019495896e-66,6.768167653334037e-05
p8410_s0004,p8410,4,1,0.9999832953385677,0.0001446005169996823,-5.5028155490273285,5.323827162145297e-10,0.9999832953385677,5.78587846144277e-116,1.6704129049353937e-05
p8411_s0001,p8411,1,1,0.9992904711725452,0.004389055234350211,-9.238602735401567,0.0006386394368969519,0.9992904711725452,9.229311922652392e-75,7.088939055829388e-05
p8411_s0002,p8411,2,2,0.9999999999613953,7.029396725419059e-10,-6.160895192398213,1.2747257952943955e-16,2.8735581893661565e-12,0.9999999999613953,3.573099082095395e-11
p8412_s0001,p8412,1,1,0.9999850898056265,0.00013752825207491123,-7.866432941628467,5.978685655376187e-06,0.9999850898056265,3.490063403275762e-77,8.931508718513166e-06
p8412_s0002,p8412,2,1,0.9999625334169274,0.00030248098472619397,-6.252823150430588,5.8087447214834505e-12,0.9999625334169274,1.5379567188831963e-141,3.746657726392992e-05
p8412_s0003,p8412,3,0,0.9991947085341599,0.004726914500206153,-3.5189012456066897,0.9991947085341599,0.0008038141107681612,2.3404611953713073e-68,1.4773550719860433e-06
p8412_s0004,p8412,4,1,0.9999801766451435,0.00016915163475891596,-5.772680323675961,9.734887855775495e-10,0.9999801766451435,8.333679563553301e-132,1.9822381367936052e-05
p8412_s0005,p8412,5,1,0.9999858146891057,0.0001246754261638064,-4.574333309268974,4.3763220310317644e-08,0.9999858146891057,1.5181202689221573e-113,1.4141547673859755e-05
p8412_s0006,p8412,6,1,0.8335469862930176,0.3251605394237942,-5.450249270499707,0.1663910719939725,0.8335469862930176,1.0302395612946807e-84,6.194171301018543e-05
p8412_s0007,p8412,7,1,0.9999582715614386,0.0003336456130182819,-7.796282535998746,1.3545836713876272e-11,0.9999582715614386,8.75597550436533e-124,4.172842501515484e-05
p8412_s0008,p8412,8,1,0.9996147301020957,0.0026081717080965313,-4.8276567812893,0.00030155373342308873,0.9996147301020957,1.7153946370231933e-111,8.371616448149305e-05
p8412_s0009,p8412,9,0,0.9901174427036054,0.04006445478943402,-7.684508788911168,0.9901174427036054,0.009872411867746749,6.542111146889576e-60,1.0145428647487102e-05
p8413_s0001,p8413,1,1,0.9995544095804749,0.0029304591761370896,-8.992720761483978,0.00038413148023074966,0.9995544095804749,2.6331970585113207e-78,6.145893929449259e-05
p8413_s0002,p8413,2,1,0.9998976591893122,0.0007520490234329177,-11.961409146998268,2.2973100091287116e-12,0.9998976591893122,2.2506413011551434e-108,0.00010234080839136527
p8413_s0003,p8413,3,0,0.9998581050358331,0.0010127702839158714,-3.948954064285178,0.9998581050358331,0.00014110981523183567,3.1285326245381838e-65,7.851489349472473e-07
p8413_s0004,p8413,4,1,0.9999812550809913,0.0001613192928263351,-5.367035993383796,1.4729987728867672e-07,0.9999812550809913,3.244798755803557e-109,1.8597619131492353e-05
p8413_s0005,p8413,5,2,0.9999999999604752,7.18956587549103e-10,-4.021182289837082,1.1013766479984125e-14,2.864803719649579e-12,0.9999999999604752,3.664927244946501e-11
p8413_s0006,p8413,6,2,0.9999999999060725,1.6432345853823634e-09,-4.708929223826745,7.361752748376577e-13,2.3968178713377962e-12,0.9999999999060725,9.079433740212974e-11
p8414_s0001,p8414,1,1,0.9988973787065585,0.006422368178207921,-9.496250931101086,0.001020466931738964,0.9988973787065585,1.99742494197544e-71,8.215436170235792e-05
p8414_s0002,p8414,2,1,0.9999040447952756,0.0007355058317297602,-5.576842105062634,8.407254563886839e-05,0.9999040447952756,6.668747855097927e-79,1.1882659085981769e-05
p8414_s0003,p8414,3,3,1.0,-8.008566018456114e-16,-8.866753060778022,8.846300914623513e-42,9.67635538381182e-25,2.0098003429303976e-182,1.0
p8414_s0004,p8414,4,3,1.0,-8.008566255780178e-16,-8.583461333269362,2.0858516959158621e-44,1.5080047340240026e-26,5.138846116472775e-172,1.0
p8414_s0005,p8414,5,1,0.9999641203278906,0.0002907899154183939,-5.853229459402078,5.271256785224161e-11,0.9999641203278906,1.1586976944968642e-149,3.5879619396839117e-05
p8414_s0006,p8414,6,2,0.9999999999480735,9.299965358891722e-10,-4.171329915219814,1.4231744261625394e-13,1.4617338316639133e-12,0.9999999999480735,5.032279055025966e-11
p8414_s0007,p8414,7,0,0.9973110305966797,0.01342841759889902,-4.129429978472877,0.9973110305966797,0.002687100002159497,9.676477611599577e-72,1.8694011608918965e-06
p8414_s0008,p8414,8,1,0.9999671100765981,0.0002686230303555228,-6.353873025519953,5.9798608823830365e-12,0.9999671100765981,1.8003812421149322e-140,3.28899174216878e-05
p8414_s0009,p8414,9,1,0.9999651788935369,0.0002829626079280855,-6.1259625344726345,2.0974801159997577e-11,0.9999651788935369,1.2433254731096355e-137,3.482108548887961e-05
p8414_s0010,p8414,10,2,0.9999999823139768,2.4932454906085354e-07,-14.658278101156446,8.783833020580404e-19,8.516968695806528e-09,0.9999999823139768,9.169054644455269e-09
